,name,rating,reviews,company_type,Head_Quarters,Company_Age,No_of_Employee
2837,Tradebulls,3.0,(192 Reviews),Private,"Mumbai,Maharashtra + 16 more",14 years old,11-50 Employees (India)
2838,Indiabulls Real ...,4.4,(192 Reviews),Public,"Mumbai,Maharashtra + 18 more",17 years old,501-1k Employees (India)
2839,My Home Construc...,4.3,(192 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 9 more",34 years old,501-1k Employees (India)
2840,Hinduja Tech,3.7,(191 Reviews),Chennai + 11 more,,,
2841,IDS Infotech,3.1,(191 Reviews),Public,Mohali + 7 more,34 years old,1k-5k Employees (India)
2842,ESAB,4.2,(191 Reviews),Public,"Chennai,Tamil Nadu + 17 more",36 years old,501-1k Employees (India)
2843,Aegon Life Insur...,3.9,(191 Reviews),Private,Mumbai + 32 more,16 years old,1k-5k Employees (India)
2844,Indian Institute...,4.3,(191 Reviews),Private,"Gandhinagar,Gujarat + 24 more",15 years old,501-1k Employees (India)
2845,Aliens Group,3.8,(191 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 3 more",19 years old,501-1k Employees (India)
2846,Flipkart Health+,4.1,(191 Reviews),Private,"Kolkata,West Bengal + 20 more",10 years old,501-1k Employees (India)
2847,Powerica,4.2,(191 Reviews),Private,"Mumbai,Maharashtra + 20 more",39 years old,501-1k Employees (India)
2848,Dnata,4.1,(191 Reviews),Private,"Dubai,Dubai + 16 more",64 years old,501-1k Employees (India)
2849,EMCO,3.8,(191 Reviews),Public,"Mumbai,Maharashtra + 22 more",59 years old,51-200 Employees (India)
2850,T&M Services con...,3.9,(191 Reviews),Private,"Mumbai,Maharashtra + 41 more",27 years old,501-1k Employees (India)
2851,Infra.Market,3.9,(191 Reviews),Private,"Thane,Maharashtra + 30 more",7 years old,1k-5k Employees (India)
2852,Tejas Networks,4.1,(191 Reviews),Public,"Bangalore,Karnataka + 14 more",23 years old,1k-5k Employees (India)
2853,Cheil India,3.3,(191 Reviews),Private,Gurugram + 13 more,20 years old,201-500 Employees (India)
2854,Siemens Healthin...,4.1,(401 Reviews),Erlangen + 12 more,127 years old,1k-5k Employees (India),
2855,Mukand,3.7,(300 Reviews),Public,"Mumbai,Maharashtra + 13 more",86 years old,1k-5k Employees (India)
2856,Shree Baidyanath...,3.8,(190 Reviews),Private,"Allahabad/Prayagraj,Uttar Pradesh + 26 more",106 years old,501-1k Employees (India)
2857,Veeda Clinical R...,4.2,(190 Reviews),Private,"Ahmedabad,Gujarat + 3 more",19 years old,501-1k Employees (India)
2858,Nous Infosystems,4.0,(190 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 4 more",27 years old,1k-5k Employees (India)
2859,Focus Energy,3.5,(190 Reviews),Private,"Gurgaon/Gurugram,Haryana + 9 more",37 years old,501-1k Employees (India)
2860,Sri Sri Tattva,3.7,(190 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 31 more",20 years old,201-500 Employees (India)
2861,Munjal Auto Indu...,3.8,(190 Reviews),Public,"Gurgaon/Gurugram,Haryana + 9 more",38 years old,1k-5k Employees (India)
2862,Netmeds.com,3.9,(190 Reviews),Private,"Chennai,Tamil Nadu + 42 more",8 years old,501-1k Employees (India)
2863,Shah Technical C...,3.7,(190 Reviews),Private,"Mumbai,Maharashtra + 41 more",14 years old,51-200 Employees (India)
2864,Kellton Tech Sol...,3.6,(190 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 8 more",14 years old,1k-5k Employees (India)
2865,AYN InfoTech,4.8,(190 Reviews),Public,"Bengaluru/Bangalore,Karnataka + 11 more",14 years old,51-200 Employees (India)
2866,GoMechanic,3.7,(190 Reviews),Private,"Gurgaon,Haryana + 25 more",7 years old,501-1k Employees (India)
2867,Self Practice,4.5,(190 Reviews),Kolkata + 73 more,,,
2868,Sub-K IMPACT Sol...,4.0,(190 Reviews),Private,Hyderabad + 62 more,13 years old,1k-5k Employees (India)
2869,PureSoftware,3.6,(190 Reviews),Private,"Noida,Uttar Pradesh + 5 more",18 years old,501-1k Employees (India)
2870,Chettinad Cement...,3.9,(190 Reviews),Private,"Chennai,Tamil Nadu + 40 more",61 years old,1k-5k Employees (India)
2871,Orchid Chemicals...,3.9,(305 Reviews),Private,"Chennai,Tamil Nadu + 22 more",31 years old,1k-5k Employees (India)
2872,ExportersIndia,4.7,(189 Reviews),Private,New Delhi,26 years old,1k-5k Employees (India)
2873,Manhattan Associ...,4.1,(189 Reviews),Private,"Atlanta,Georgia + 1 more",33 years old,1k-5k Employees (India)
2874,Military Enginee...,4.6,(189 Reviews),Public,"Delhi/NCR,Delhi + 49 more",100 years old,51-200 Employees (India)
2875,Techwave Consult...,3.8,(189 Reviews),Private,"Houston,Texas + 1 more",19 years old,1k-5k Employees (India)
2876,KRBL,3.9,(189 Reviews),Public,"Noida,Uttar Pradesh + 18 more",134 years old,501-1k Employees (India)
2877,Country Club Ind...,3.6,(189 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 22 more",38 years old,5k-10k Employees (India)
2878,Highway Industri...,4.1,(189 Reviews),Private,"Ludhiana,Punjab + 6 more",52 years old,1k-5k Employees (India)
2879,Synergy Property...,3.8,(189 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 20 more",20 years old,201-500 Employees (India)
2880,Zovian Technolog...,4.9,(189 Reviews),Private,Bangalore + 2 more,7 years old,1-10 Employees (India)
2881,Writer Informati...,3.4,(189 Reviews),Private,Mumbai + 23 more,36 years old,5k-10k Employees (Global)
2882,Efftronics Syste...,3.5,(189 Reviews),Private,"Vijayawada,Andhra Pradesh + 18 more",38 years old,501-1k Employees (India)
2883,Petrofac Enginee...,3.8,(189 Reviews),Private,London + 10 more,20 years old,1k-5k Employees (India)
2884,McNROE,3.9,(189 Reviews),Private,Kolkata + 39 more,37 years old,501-1k Employees (India)
2885,Huntsman Interna...,4.2,(189 Reviews),Private,Texas + 21 more,53 years old,501-1k Employees (India)
2886,New Opportunity ...,4.3,(189 Reviews),Private,Navi Mumbai + 74 more,8 years old,201-500 Employees (India)
2887,Khimji Ramdas,4.1,(189 Reviews),Private,Muscat + 21 more,153 years old,201-500 Employees (India)
2888,Can-Pack,4.3,(189 Reviews),Private,"Aurangabad,Maharashtra + 7 more",31 years old,501-1k Employees (India)
2889,Dorf Ketal Chemi...,3.9,(189 Reviews),LLC,Houston + 20 more,31 years old,1k-5k Employees (India)
2890,ABI SHOWA TECH,3.9,(189 Reviews),Private,"Chennai,Tamil Nadu + 8 more",32 years old,1k-5k Employees (India)
2891,APL Apollo Tubes...,4.0,(189 Reviews),Public,"Delhi/NCR,New Delhi + 25 more",37 years old,1k-5k Employees (India)
2892,Hyundai Heavy In...,3.9,(189 Reviews),Public,Ulsan + 19 more,51 years old,201-500 Employees (India)
2893,Birla Cement,4.3,(189 Reviews),Kolkata + 46 more,113 years old,5k-10k Employees (India),
2894,Halliburton,3.8,(189 Reviews),Private,"Houston,Texas + 20 more",104 years old,1k-5k Employees (India)
2895,Aptus Value Hous...,4.4,(188 Reviews),Private,"Chennai,Tamil Nadu + 81 more",14 years old,1k-5k Employees (India)
2896,TNT Express,4.6,(188 Reviews),Private,"Hoofddorp,North Holand + 31 more",77 years old,501-1k Employees (India)
2897,ArcGate,3.4,(188 Reviews),Private,"Udaipur,Rajasthan",18 years old,1k-5k Employees (India)
2898,Shakti Pumps,3.8,(188 Reviews),Public,"Dhar,Madhya Pradesh + 28 more",41 years old,501-1k Employees (India)
2899,ThoughtWorks,4.3,(188 Reviews),Private,"Chicago,Illinois + 9 more",30 years old,1k-5k Employees (India)
2900,Hashedin By Delo...,4.3,(188 Reviews),Private,"Santa Clara,California + 5 more",13 years old,1k-5k Employees (India)
2901,Sistema Shyam Te...,4.9,(188 Reviews),Private,Gurugram + 40 more,28 years old,1k-5k Employees (India)
2902,Global Aluminium,3.9,(188 Reviews),Private,Hyderabad/Secunderabad + 5 more,26 years old,1k-5k Employees (India)
2903,Pearl Global Ind...,3.7,(188 Reviews),Public,"Gurgaon/Gurugram,Haryana + 10 more",36 years old,501-1k Employees (India)
2904,Padget Electroni...,3.6,(188 Reviews),Noida + 3 more,501-1k Employees (India),,
2905,Wow Momo Foods,3.6,(188 Reviews),Private,"Kolkata,West Bengal + 23 more",15 years old,501-1k Employees (India)
2906,Rosenberger Elec...,4.0,(188 Reviews),Private,Tittmoning + 25 more,65 years old,501-1k Employees (India)
2907,Titan Laboratori...,3.8,(188 Reviews),Private,"Mumbai,Maharashtra + 10 more",19 years old,201-500 Employees (India)
2908,Global Aluminium,3.9,(188 Reviews),Private,Hyderabad/Secunderabad + 5 more,26 years old,1k-5k Employees (India)
2909,Refinitiv,4.1,(188 Reviews),Private,"London,England + 1 more",325 years old,51-200 Employees (India)
2910,OptimHire,4.3,(188 Reviews),"Union City,California + 1 more",5 years old,51-200 Employees (India),
2911,SRMB SRIJAN,3.7,(188 Reviews),"Kolkata,West Bengal + 32 more",72 years old,201-500 Employees (India),
2912,Equiniti,3.5,(188 Reviews),Public,London + 1 more,18 years old,201-500 Employees (India)
2913,Alembic,4.1,(2.2k Reviews),Public,Vadodara + 27 more,116 years old,5k-10k Employees (Global)
2914,Rakuten,3.9,(264 Reviews),Private,"San Mateo,California + 4 more",26 years old,501-1k Employees (India)
2915,Treebo Hotels,3.7,(188 Reviews),Private,"Bangalore,Karnataka + 24 more",8 years old,51-200 Employees (India)
2916,MDC Group of Com...,5.0,(187 Reviews),Private,Muscat + 2 more,11-50 Employees (Global),
2917,Honour Lab,3.9,(187 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 8 more",11 years old,201-500 Employees (India)
2918,Servion Global S...,4.0,(187 Reviews),Private,New Jersey + 11 more,28 years old,1k-5k Employees (India)
2919,Bharat Instituti...,4.1,(187 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 4 more",22 years old,201-500 Employees (India)
2920,Global Edge Soft...,3.6,(187 Reviews),Private,"Bangalore,Karnataka + 7 more",18 years old,201-500 Employees (India)
2921,Hummingwave Tech...,5.0,(187 Reviews),Private,Bangalore + 3 more,10 years old,11-50 Employees (India)
2922,JoulestoWatts Bu...,3.0,(187 Reviews),Private,"Bangalore,Karnataka + 11 more",8 years old,201-500 Employees (India)
2923,Mediterranean Sh...,3.9,(187 Reviews),Private,Geneva + 16 more,53 years old,51-200 Employees (India)
2924,Deluxe Entertain...,3.9,(187 Reviews),Private,"Hollywood,Florida + 3 more",108 years old,1k-5k Employees (India)
2925,SKH Y-TEC,4.0,(187 Reviews),Private,Becharaji + 12 more,10 years old,1k-5k Employees (India)
2926,Magic Software,3.8,(187 Reviews),Private,"Laguna Hills,California + 2 more",33 years old,201-500 Employees (India)
2927,Thales,4.0,(267 Reviews),Private,"Paris,√éle-de-France + 13 more",23 years old,1k-5k Employees (India)
2928,Technico Industr...,3.8,(186 Reviews),Private,"Gurgaon/Gurugram,Haryana + 11 more",53 years old,501-1k Employees (India)
2929,Caresoft Global,3.6,(186 Reviews),Private,"Detroit,Michigan + 5 more",19 years old,1k-5k Employees (India)
2930,BridgeLabz Solut...,4.0,(186 Reviews),"Mumbai,Maharashtra + 8 more",7 years old,201-500 Employees (India),
2931,Tube Products of...,3.8,(186 Reviews),Private,"Chennai,Tamil Nadu + 8 more",68 years old,10k-50k Employees (India)
2932,Bombay Rayon Fas...,3.7,(186 Reviews),Public,"Mumbai,Maharashtra + 12 more",37 years old,5k-10k Employees (India)
2933,VIT University,4.4,(186 Reviews),Private,"Vellore,Tamil Nadu + 9 more",39 years old,1k-5k Employees (India)
2934,Gopaljee Dairy F...,3.9,(186 Reviews),Private,"Noida,Uttar Pradesh + 27 more",34 years old,501-1k Employees (India)
2935,Uae Exchange & F...,4.0,(186 Reviews),Private,Abu Dhabi + 62 more,43 years old,501-1k Employees (India)
2936,LiquidHub,3.8,(186 Reviews),Private,Wayne + 7 more,22 years old,1k-5k Employees (India)
2937,Valvoline Cummin...,4.1,(186 Reviews),Private,"Gurgaon/Gurugram,Haryana + 42 more",25 years old,201-500 Employees (India)
2938,Caresoft Global,3.6,(186 Reviews),Private,"Detroit,Michigan + 5 more",19 years old,1k-5k Employees (India)
2939,Valvoline Cummin...,4.1,(186 Reviews),Private,"Gurgaon/Gurugram,Haryana + 42 more",25 years old,201-500 Employees (India)
2940,Casagrand,3.9,(186 Reviews),Private,"Chennai,Tamil Nadu + 6 more",19 years old,501-1k Employees (India)
2941,Gopaljee Dairy F...,3.9,(186 Reviews),Private,"Noida,Uttar Pradesh + 27 more",34 years old,501-1k Employees (India)
2942,Scaler Academy,4.2,(186 Reviews),Private,"Bangalore,Karnataka + 1 more",4 years old,1k-5k Employees (India)
2943,JSW Paints,4.0,(186 Reviews),Mumbai + 45 more,7 years old,51-200 Employees (India),
2944,PULSUS HealthTec...,3.4,(186 Reviews),Public,London + 3 more,39 years old,501-1k Employees (India)
2945,eNoah iSolution,4.0,(186 Reviews),Private,"Chennai,Tamil Nadu + 4 more",18 years old,1k-5k Employees (India)
2946,NxtWave,4.4,(186 Reviews),"Hyderabad,Telangana + 5 more",3 years old,1k-5k Employees (India),
2947,Ozone Overseas,3.9,(186 Reviews),Private,"Delhi/NCR,Delhi + 24 more",23 years old,51-200 Employees (India)
2948,Berkadia,4.3,(185 Reviews),Private,"New York,New York + 1 more",14 years old,1k-5k Employees (India)
2949,Tata Metaliks,4.0,(185 Reviews),Public,"Kolkata,West Bengal + 7 more",33 years old,1k-5k Employees (India)
2950,Su-Kam Power Sys...,4.3,(185 Reviews),Private,"Gurgaon/Gurugram,Haryana + 40 more",35 years old,501-1k Employees (India)
2951,RSM India,3.3,(185 Reviews),Private,London + 17 more,59 years old,1k-5k Employees (India)
2952,Creative Synergi...,3.6,(185 Reviews),Private,Okemos (MI) + 1 more,12 years old,501-1k Employees (India)
2953,Vem Technologies,3.8,(185 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 2 more",30 years old,1k-5k Employees (India)
2954,Richa Global Exp...,3.8,(185 Reviews),Private,"Gurgaon/Gurugram,Haryana + 7 more",32 years old,10k-50k Employees (India)
2955,Hindustan Syring...,4.1,(185 Reviews),Private,"Faridabad,Haryana + 8 more",66 years old,51-200 Employees (India)
2956,Bharat Rasayan,4.1,(185 Reviews),Public,"Delhi/NCR,New Delhi + 11 more",34 years old,501-1k Employees (India)
2957,NAFFCO,3.9,(185 Reviews),Private,"Dubai,Dubai + 15 more",32 years old,201-500 Employees (India)
2958,Theme Engineerin...,3.4,(185 Reviews),Private,"Jaipur,Rajasthan + 61 more",21 years old,501-1k Employees (India)
2959,Welspun Floorin...,3.8,(185 Reviews),Public,Hyderabad + 15 more,7 years old,51-200 Employees (India)
2960,Examity,3.6,(185 Reviews),"Needham,Massachusetts + 3 more",10 years old,201-500 Employees (Global),
2961,Net Solutions,4.6,(185 Reviews),Private,"Chandigarh,Haryana",23 years old,201-500 Employees (India)
2962,Allianz,4.3,(1.2k Reviews),Private,Munich + 10 more,133 years old,10k-50k Employees (India)
2963,Mitsui O.S.K. Li...,4.1,(327 Reviews),Private,"Toranomon,Tokyo + 8 more",139 years old,51-200 Employees (India)
2964,CESC,3.8,(184 Reviews),Public,"Kolkata,West Bengal + 12 more",124 years old,5k-10k Employees (India)
2965,Stovekraft,3.8,(184 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 26 more",29 years old,1k-5k Employees (India)
2966,Checkmate Servic...,4.1,(184 Reviews),Private,"Vadodara/Baroda,Gujrat + 46 more",31 years old,10k-50k Employees (India)
2967,TowerVision Indi...,4.1,(184 Reviews),Private,Chennai + 20 more,17 years old,501-1k Employees (India)
2968,Danone Nutricia,3.6,(184 Reviews),Private,Barcelona + 38 more,127 years old,51-200 Employees (India)
2969,GMR Energy,4.5,(184 Reviews),Public,"Delhi,NCT + 22 more",27 years old,1k-5k Employees (India)
2970,MobileComm Techn...,3.9,(184 Reviews),Private,"Richardson,TX + 24 more",21 years old,201-500 Employees (India)
2971,V-bazaar Retail,3.9,(184 Reviews),Gurgaon + 43 more,7 years old,1k-5k Employees (India),
2972,Halonix Technolo...,4.2,(184 Reviews),Private,"Noida,Uttar Pradesh + 31 more",10 years old,501-1k Employees (India)
2973,VVF,3.9,(184 Reviews),Public,Mumbai + 14 more,84 years old,1k-5k Employees (India)
2974,Par Formulations,4.3,(184 Reviews),Private,New York + 5 more,11 years old,501-1k Employees (India)
2975,Neilsoft,3.6,(184 Reviews),Private,Pune + 5 more,30 years old,501-1k Employees (India)
2976,Sundaram Auto Co...,4.1,(184 Reviews),Public,"Bhiwadi,Rajasthan + 11 more",43 years old,501-1k Employees (India)
2977,Anand Rathi Glob...,3.6,(184 Reviews),Private,Mumbai + 34 more,41 years old,51-200 Employees (India)
2978,L&T Defence,4.1,(184 Reviews),Mumbai + 12 more,13 years old,1k-5k Employees (India),
2979,Omega Healthcare...,3.7,(184 Reviews),Bengaluru/Bangalore + 4 more,10k-50k Employees (Global),,
2980,Bajaj Consumer C...,4.1,(184 Reviews),Public,"Mumbai,Maharashtra + 45 more",93 years old,201-500 Employees (India)
2981,AXIS MY INDIA,4.4,(184 Reviews),Private,"Mumbai,Maharashtra + 10 more",25 years old,51-200 Employees (India)
2982,Rapido,4.0,(184 Reviews),Private,"Bangalore,Karnataka + 40 more",8 years old,1k-5k Employees (India)
2983,MIOT INTERNATION...,3.6,(184 Reviews),"Chennai,Tamil Nadu + 5 more",24 years old,501-1k Employees (India),
2984,Delhi Duty Free ...,4.2,(183 Reviews),Partnership,"Delhi/NCR,New Delhi + 3 more",13 years old,501-1k Employees (India)
2985,Globus Stores,4.0,(183 Reviews),Private,"Mumbai,Maharashtra + 28 more",25 years old,501-1k Employees (India)
2986,Apparel Group,3.6,(183 Reviews),Private,"Dubai,Dubai + 18 more",24 years old,501-1k Employees (India)
2987,Oberoi Realty,3.7,(183 Reviews),Public,"Mumbai,Maharashtra + 5 more",43 years old,501-1k Employees (India)
2988,Watertec India,4.4,(183 Reviews),Private,"Coimbatore,Tamil Nadu + 43 more",26 years old,1k-5k Employees (India)
2989,World Vision,4.3,(183 Reviews),Private,"Monrovia,California + 57 more",73 years old,1k-5k Employees (India)
2990,Radiant Cash Man...,3.6,(183 Reviews),Private,"Chennai,Tamil Nadu + 39 more",18 years old,5k-10k Employees (India)
2991,Cochin Shipyard,4.2,(183 Reviews),Private,"Ernakulam,Kerala + 6 more",51 years old,1k-5k Employees (India)
2992,Thyssenkrupp Ind...,4.2,(183 Reviews),Essen + 12 more,164 years old,1k-5k Employees (India),
2993,Imarque Solution...,3.3,(183 Reviews),Private,"Chennai,Tamil Nadu + 8 more",19 years old,201-500 Employees (India)
2994,Encube Ethicals,3.9,(183 Reviews),Private,Mumbai + 7 more,23 years old,201-500 Employees (India)
2995,Onkar Infotech,4.4,(183 Reviews),Private,"Gurgaon/Gurugram,Haryana",23 years old,201-500 Employees (India)
2996,Amara Raja Power...,4.0,(183 Reviews),"Tirupati,Andhra Pradesh + 26 more",38 years old,10k-50k Employees (India),
2997,Infinx Healthcar...,3.6,(183 Reviews),San Jose + 6 more,11 years old,501-1k Employees (India),
2998,HealthKart,3.9,(183 Reviews),Private,"Gurgaon,Haryana + 18 more",12 years old,501-1k Employees (India)
2999,The Indian Hotel...,4.2,(1.8k Reviews),Private,"Mumbai,Maharashtra + 29 more",124 years old,1k-5k Employees (India)
3000,VST Industries,4.2,(182 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 56 more",93 years old,501-1k Employees (India)
3001,Vision India Ser...,3.7,(182 Reviews),Private,New Delhi + 51 more,15 years old,51-200 Employees (India)
3002,Trivium Educatio...,3.7,(182 Reviews),Private,"Delhi/NCR,Delhi + 7 more",13 years old,201-500 Employees (India)
3003,Gujarat Gas,4.2,(182 Reviews),Public,"Gandhinagar,Gujarat + 32 more",43 years old,1k-5k Employees (India)
3004,TATA Advanced Ma...,3.9,(182 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 1 more",33 years old,501-1k Employees (India)
3005,Smollan Group,4.3,(182 Reviews),Private,Johannesburg + 40 more,92 years old,201-500 Employees (India)
3006,CBSL,3.7,(182 Reviews),Private,New Delhi + 42 more,73 years old,1k-5k Employees (India)
3007,Centre For Sight,4.1,(182 Reviews),Private,Delhi + 19 more,27 years old,501-1k Employees (India)
3008,Azure Power,3.9,(182 Reviews),Private,"Delhi,NCT + 13 more",15 years old,501-1k Employees (India)
3009,Arabtec Construc...,4.6,(182 Reviews),Private,"Dubai,Dubai + 12 more",48 years old,201-500 Employees (India)
3010,EVRY India,3.7,(182 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 2 more",55 years old,10k-50k Employees (Global)
3011,Sgs Tekniks Manu...,3.9,(182 Reviews),Private,Gurgaon + 7 more,33 years old,201-500 Employees (India)
3012,Columbia Petro C...,4.3,(182 Reviews),Private,"Mumbai,Maharashtra + 9 more",63 years old,51-200 Employees (India)
3013,Torrent Gas,3.2,(182 Reviews),Private,"Ahmedabad,Gujarat + 23 more",5 years old,501-1k Employees (India)
3014,Nava Bharat Vent...,3.9,(182 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 19 more",51 years old,51-200 Employees (India)
3015,Škoda Auto India,4.2,(182 Reviews),Private,"Aurangabad,Maharashtra + 28 more",22 years old,1k-5k Employees (India)
3016,Pole To Win,3.6,(182 Reviews),Private,Los Angeles + 2 more,29 years old,501-1k Employees (India)
3017,Sarvodaya Hospit...,4.2,(182 Reviews),Private,"Faridabad,Haryana + 12 more",32 years old,51-200 Employees (India)
3018,Weblink In,4.6,(370 Reviews),Private,"New Delhi,Delhi + 5 more",26 years old,201-500 Employees (India)
3019,Flyjac Logistics,4.2,(181 Reviews),Private,"Chennai,Tamil Nadu + 36 more",33 years old,501-1k Employees (India)
3020,Wallace Pharmace...,3.8,(181 Reviews),Private,"Panaji/Panjim,Goa + 30 more",55 years old,1k-5k Employees (India)
3021,Urban Ladder,4.0,(181 Reviews),Private,"Bangalore,Karnataka + 21 more",11 years old,201-500 Employees (India)
3022,RA Chem Pharma,4.0,(181 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 8 more",27 years old,1k-5k Employees (India)
3023,MapmyIndia,3.8,(181 Reviews),Public,"Delhi,NCT + 3 more",31 years old,201-500 Employees (India)
3024,D.p. Jain & Co. ...,3.6,(181 Reviews),Private,"Nagpur,Maharashtra + 20 more",49 years old,201-500 Employees (India)
3025,Koyo Bearings In...,3.9,(181 Reviews),Private,Gurgaon + 4 more,16 years old,1k-5k Employees (India)
3026,BRLPS,4.0,(181 Reviews),Patna + 40 more,16 years old,1k-5k Employees (India),
3027,Central Institut...,3.6,(181 Reviews),Public,"Chennai,Tamil Nadu + 34 more",55 years old,51-200 Employees (India)
3028,RA Chem Pharma,4.0,(181 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 8 more",27 years old,1k-5k Employees (India)
3029,Inventia Healthc...,4.0,(181 Reviews),Private,"Mumbai,Maharashtra + 6 more",38 years old,501-1k Employees (India)
3030,POSCO MAHARASHTR...,4.2,(181 Reviews),Private,Pohang-si + 8 more,11 years old,1k-5k Employees (India)
3031,Central Institut...,3.6,(181 Reviews),Public,"Chennai,Tamil Nadu + 34 more",55 years old,51-200 Employees (India)
3032,Oriflame,3.9,(181 Reviews),Private,"Stockholm,Schaffhausen + 21 more",56 years old,201-500 Employees (India)
3033,Case New-Holland...,4.0,(181 Reviews),Private,London + 31 more,181 years old,51-200 Employees (India)
3034,Pfizer Healthcar...,4.1,(181 Reviews),Mumbai + 12 more,14 years old,1k-5k Employees (India),
3035,Dalmia-OCL,3.7,(181 Reviews),New Delhi + 27 more,7 years old,501-1k Employees (Global),
3036,Amentum,4.4,(181 Reviews),Bengaluru/Bangalore + 19 more,51-200 Employees (India),,
3037,Gartner India Re...,4.1,(181 Reviews),Private,"Stamford,Connecticut + 6 more",71 years old,1k-5k Employees (India)
3038,Publicis,3.7,(2.3k Reviews),Private,Paris + 12 more,97 years old,10k-50k Employees (India)
3039,Parul University,3.6,(180 Reviews),Private,"Vadodara/Baroda,Gujarat + 17 more",8 years old,201-500 Employees (India)
3040,S Chand Group,3.9,(180 Reviews),Public,New Delhi + 28 more,84 years old,1k-5k Employees (India)
3041,Taraashna Financ...,4.1,(180 Reviews),Private,Gurgaon + 50 more,11 years old,51-200 Employees (India)
3042,Asti Electronics...,4.0,(180 Reviews),Private,"Gurgaon/Gurugram,Haryana + 4 more",19 years old,201-500 Employees (India)
3043,Polestar Solutio...,4.6,(180 Reviews),Private,"Noida,Uttar Pradesh + 5 more",11 years old,201-500 Employees (India)
3044,Signode,4.1,(180 Reviews),Private,"Glenview,Illinois + 24 more",110 years old,501-1k Employees (India)
3045,Adama,4.4,(180 Reviews),Private,Tel Aviv + 46 more,14 years old,201-500 Employees (India)
3046,Yashi Consulting...,3.9,(180 Reviews),Private,Jaipur + 12 more,18 years old,51-200 Employees (India)
3047,Call 2 Connect,3.3,(180 Reviews),Private,"Mumbai,Maharashtra + 11 more",20 years old,501-1k Employees (India)
3048,CTDI,3.8,(180 Reviews),Private,"West Chester,Pennsylvania + 17 more",48 years old,201-500 Employees (India)
3049,Bajaj Hindusthan,4.2,(180 Reviews),Public,"Mumbai,Maharashtra + 15 more",92 years old,1k-5k Employees (India)
3050,Belstar Investme...,4.2,(180 Reviews),Private,"Chennai,Tamil Nadu + 71 more",35 years old,201-500 Employees (India)
3051,PhyCARE Solution...,3.9,(180 Reviews),Private,"Bronx,New York + 3 more",23 years old,501-1k Employees (India)
3052,Manipal Technolo...,3.7,(180 Reviews),Private,"Manipal,Karnataka + 20 more",82 years old,1k-5k Employees (India)
3053,Sequential Techn...,4.0,(180 Reviews),Private,Windermere + 4 more,7 years old,501-1k Employees (India)
3054,SVC Co-Operative...,4.0,(180 Reviews),Private,"Mumbai,Maharashtra + 30 more",117 years old,1k-5k Employees (India)
3055,Nippon India Mut...,4.5,(180 Reviews),JV,"Mumbai,Maharashtra + 72 more",28 years old,1k-5k Employees (India)
3056,Zebronics,3.5,(180 Reviews),Private,"Chennai,Tamil Nadu + 31 more",26 years old,1k-5k Employees (India)
3057,Calsoft,3.5,(180 Reviews),Private,"San Jose,California + 3 more",25 years old,501-1k Employees (India)
3058,Zepto,3.9,(180 Reviews),"Mumbai,Maharashtra + 15 more",2 years old,501-1k Employees (India),
3059,Associated Road ...,4.2,(180 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 43 more",51 years old,1k-5k Employees (India)
3060,Zebronics,3.5,(180 Reviews),Private,"Chennai,Tamil Nadu + 31 more",26 years old,1k-5k Employees (India)
3061,Wsp Consultants ...,4.4,(180 Reviews),Private,Montreal + 8 more,64 years old,1k-5k Employees (India)
3062,Virchow Biotech,3.6,(179 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 4 more",24 years old,1k-5k Employees (India)
3063,Sundaram Busines...,3.5,(179 Reviews),Private,Chennai + 6 more,22 years old,501-1k Employees (India)
3064,VSoft Technologi...,3.6,(179 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 13 more",19 years old,201-500 Employees (India)
3065,Syncfusion,3.7,(179 Reviews),Private,"Morrisville,Carolina",22 years old,501-1k Employees (India)
3066,Premium Transmis...,3.7,(179 Reviews),Private,"Pune,Maharashtra + 10 more",62 years old,501-1k Employees (India)
3067,TCI Supply Chain...,4.3,(179 Reviews),Private,"Gurgaon/Gurugram,Haryana + 30 more",65 years old,5k-10k Employees (India)
3068,Datamatics Busin...,3.7,(179 Reviews),Public,Mumbai + 3 more,41 years old,1k-5k Employees (India)
3069,FIGMD,3.5,(179 Reviews),Private,"Rockford,IL",13 years old,501-1k Employees (India)
3070,ProConnect Inte...,4.0,(179 Reviews),Private,"Chennai,Tamil Nadu + 33 more",11 years old,51-200 Employees (India)
